,roi,weight,network,weight_th
292,7Networks_RH_SalVentAttn_FrOperIns_5,-0.8389793424397564,SalVentAttn,0
293,7Networks_RH_SalVentAttn_FrOperIns_6,1.237488026324076,SalVentAttn,0
294,7Networks_RH_SalVentAttn_FrOperIns_7,-0.615794860378367,SalVentAttn,0
295,7Networks_RH_SalVentAttn_FrOperIns_8,-0.46705472387154123,SalVentAttn,0
296,7Networks_RH_SalVentAttn_PFCl_1,-1.9813833751840142,SalVentAttn,0
297,7Networks_RH_SalVentAttn_Med_1,-0.43604037636115395,SalVentAttn,0
298,7Networks_RH_SalVentAttn_Med_2,1.5049773088388834,SalVentAttn,0
299,7Networks_RH_SalVentAttn_Med_3,-1.7668440235064482,SalVentAttn,0
300,7Networks_RH_SalVentAttn_Med_4,-0.2436800082054025,SalVentAttn,0
301,7Networks_RH_SalVentAttn_Med_5,0.6009079082248389,SalVentAttn,0
302,7Networks_RH_SalVentAttn_Med_6,-0.3388161752848642,SalVentAttn,0
303,7Networks_RH_SalVentAttn_Med_7,1.8876788848836656,SalVentAttn,0
304,7Networks_RH_SalVentAttn_Med_8,-0.3076454068019051,SalVentAttn,0
305,7Networks_RH_Cont_Par_1,-0.8654062140482922,Cont,0
306,7Networks_RH_Cont_Par_2,-1.9969450541776739,Cont,0
307,7Networks_RH_Cont_Par_3,-2.1194510742378245,Cont,0
308,7Networks_RH_Cont_Par_4,0.3742263947526808,Cont,0
309,7Networks_RH_Cont_Par_5,0.7943782095491739,Cont,0
310,7Networks_RH_Cont_Par_6,-1.4801321365038635,Cont,0
311,7Networks_RH_Cont_Temp_1,0.8262582132519912,Cont,0
312,7Networks_RH_Cont_Temp_2,-2.013903483205051,Cont,0
313,7Networks_RH_Cont_PFCv_1,-1.373179466316373,Cont,0
314,7Networks_RH_Cont_PFCl_1,-1.6961012540149505,Cont,0
315,7Networks_RH_Cont_PFCl_2,-2.7139201921889895,Cont,0
316,7Networks_RH_Cont_PFCl_3,-3.943826350461285,Cont,1
317,7Networks_RH_Cont_PFCl_4,0.8764114517725035,Cont,0
318,7Networks_RH_Cont_PFCl_5,-0.8675111023020772,Cont,0
319,7Networks_RH_Cont_PFCl_6,0.7788603664744418,Cont,0
320,7Networks_RH_Cont_PFCl_7,0.691931461418441,Cont,0
321,7Networks_RH_Cont_PFCl_8,-3.6596893778821453,Cont,1
322,7Networks_RH_Cont_PFCl_9,-2.6593221337363655,Cont,0
